Oublier (s’),Bliyé kò
Oui,"Wi, enren"
Pantalon,Tchilòt long
Par écrit,Annékri
Pardonnable,Padonab
"Paresseux, (mouton paresseux)","Parsou, parsou-mouton"
Parler pour ne rien dire,Tòtòbyòtò
Parole,Kozman
Parole,"Palò, mo"
Participer,Bay andan
Partir,"Do, pati, alé"
Partir vite,Do
Pas du tout,Ditou ditou
Pas encore,Pòkò
Pas question !,Défann
Pasteur,"Pastò, Pastèr"
Pauvreté,"Lapo, pov"
Peau dure (avoir la),"Tanwen, lapo tanwen"
Pentalon,Tchilòt
Perdrix,"Pédri, Ayonn, Sòròl, Séròl"
Personnage important,"Grotchap, gro-tèt, gran-grèk"
Personne importante,"Tchap, dòkò, grèk"
Personne insignifiante,Atchòpò
Perturber (quelqu’un),Fè mo ponn
Pesanteur,"Pézantò, pézantèr"
Petit á petit,"Fèt an mizou, fèt an mizi, chikèt pa chikèt"
Petit déjeuner,Tchenbé-tchò
Petit matin,"Divan-jou, douvan-jou"
Petit paquet de fruit,Griyo
Petite affaire,Tchika
Petite quantité,Chikèt
Petite toux,Ken-renm-ken-renm
Pétrole,Chis
Peu de chose,Oun dimi ké lanmotché
Peut-être,"Pitèt, oro, oroyo"
Piège à poisson,"Tatawé, goli, kaminan"
Piquer avec une pointe,Djouké
Piquet,Pitchèt
Piquet pour le cannot,Ayarou
Piquoter,"Tchoukounen, tchoukonnnen"
Plein (à craquer),"Tim, bak-foul"
Pleurer,"Kriyé, pléré"
Pluie légère,"Lapousinyen, lapousignen, lapousinyè,
lapousignè, fifinen (lapli ka…)"
Plus que,Plis pasé
"Poids, Pesanteur",Pézantò
Poisson,"Poson, pwéson, pwason"
Poitrine,Potrin
Porter aux nues,Anpan-mbèlè
Porter déveine,Wè malò
Portrait,Potrè
Poupée,Katen
Pour (lui),"Bay, bay li"
