Pour ce qui est de …..,Pou zafè
Pour le cas où …..,Dé fwè ki
Pourtant,Atò
Pourvu que,Provik ki
Précipitation,Gidi-gidi
Préférer,"Miyò, simyé"
Premier,"Pronmyé, prémyé"
Prend quelque chose,Dap (oun bagaj)
Prendre le dessert,Dèsè
Prendre ses responsabilités,"Maré ren, maré kanmza, … sentir"
Prendre son courage,Maré so kanmza
Près de,"Òbò, abò"
Prestance,Gréman
Prison (le),Lajòl
Problème,"Djopopo, lélékou, trafalga"
Prochain,Ka vini an
Professeur,"Profésèr, profésò"
Prostituée,"Bòbò, djanmèt, bwabwa, manawa, ravèt-roch,
piten"
Proverbe,Dolo
Provocateur,Majò
Provoquer,Sasé chikann
"Put (du…, microbes)",Lapòstim
Punch,"Pété-pyé, kou"
Purge,"Mèdsin, prij"
Quelle heure est-il ?,Li ki lò ?
Quelque,"Tchèk, kèk"
Quelques temps,"Kèk tan, tchèk tan"
Qui a de l’importance,Pézan
Quoi ?,Éti ?
Quoi de neuf ? Quelles nouvelles ?,Ki nòv?
Ramasser,Ranmasé
Rapprocher pour organiser,Kontré-bwa
"Rassasier, fatigué d’avoir mangé","Gon, lad"
Rassembler,Sanblé
Rebus,"Rébi, imondis"
Récipient fait d’une demi-calebasse,Kwi
Réclamer,Rouklanmen
Recourber,"Kroubé, kokobé"
Récurer,"Tchiré, froubi"
Réduire,Ronyen
Réellement,Di vrè
Refroidissement,Cho-kè-frèt
Refus,Fokòl
Refuser,Roufizé
Regard,Kout-wéy
Regardant,"Rougadan, fouyaya"
Regarder de travers,Pran oun wéy trabésé
Remarquer,Roumaké
Remède,"Rémèd, mèdsin"
"Remerciements, grace à",Grémési
Remuer,"Bwennen, rouminyen"
Renconter,Kontré
