Rencontrer des problèmes,Trapé tren
Renverser,"Chalviré, kalbannen"
Repas à base de bananes,Lafoufou bannann
Repos,"Permont, kanpo"
Repu (avoir bien ou trop mangé),"Angwé, gon"
Ressembler,Sanblé
Reste d’aliments ou de boissons,Baba (baba kafé)
Rien,Ak
Rigoler,Anmizé
Riposter,"Réponn, chou pou chou"
Rogner,Ronyen
Roi,"Rwè, Mouché Lirwè"
Roublard,"Baroufyè, fè barouf"
Rouspéter,"Babyé, rouspété, rouspèkté"
Rusé,"Malen, rizé, gaya"
Sac en feuilles de palmier tressées,"Moutété, katouri-do"
Sac en osier,"Pagra, kroukrou (osier = arouman)"
Saigner,"Senyen, sengnen"
Saisir rapidement,"Djap, dap"
(Salamandre) lézard de forêt,Aganman
Salle de bain,Chanm-ben
Saoûl,"Boulé, sou, kokomèrlo pran’l, ladoublé"
Sans éducation,Malapri
Scène hétéroclite,Bankoulélé
Se préparer pour …,"Filé so lanng, lang"
Secouer,Soukouyé
Secouer dans de l’eau,Tchòkò-tchòkò
Secret,Sigré
Séducteur profitant,Dousinè
Sentier,Chimen-chyen
"Séparé, couper en plusieurs parties égales","Sa dé, sendé"
Serré l’un contre l’autre,Braré
"Seulement, seul","Ounso, rounso"
"Sieste (faire la), sommeiller","Sigalé, pozé tèt"
"Signal, clin d’œil",Kasé-wéy
Simagré,"Simiyak, makakri"
Simplet,"Bozobyo, bòzòbyò"
Simplet,"Tèbè, abèbè, kòkòdò, abòzò"
Slip local,"Kalenmbé, Badja-kousou"
Soit disant,Swé dizan
"Soir, ce soir, hier soir, demain soir","Aswè, aswè a, ayèroswè, dimen aswè"
Soldat,Soda
Sommet,Fétaj
Sommet de la toiture,Fétaj kaze
Sorcier,"Pyayò, pyayèr"
Sortie de voyous,Labordé
"Sortilège, mauvais sort, sorcellerie","Pyay, tchenbwa, jwé pajè, jangajé"
Souche,Chiko
"Soumettre, Mettre à terre",Soum-soum
Souper,Dinen
Sourd,"Sourdo, soudo"
Sourd (faire le),"Fè so sourdo, soudo"
Soutenir,Soutni
