"Soutien solide, fiable",Poto-mitan
Squelette,"Èskélèt, èskèlèt"
Statue,Èstati
Stylo,Plim
"Sucer, seins",Tété
"Sur, au-dessus","Asou, lasou"
Surtout,Soutou
Survivre,"Djoubaté, djoubatè"
Suspendre,"Pandriyé, kroké"
Tailler en pointe,"Karé, pwenti"
Tailleur,"Tayò, tayèr"
Taire (se),"Kawka, pé, té"
Tamanoir,"Tanmannwè, Manjò-fronmi"
Tambourin,"Ti-tanbou, srèk-tanbou, tanbouren"
Tamis,"Mannaré, manaré"
Tant pis,"Sa pa ka fè anyen, zafè kò, zafè do"
Tapage,"Bakannal, wélélé"
Taquiner,Charadé
Tarder,"Mizé, taté monben"
Tâtons (marcher à),Tata
Tellement,"Afòrs, si tan, si tan di"
Temps couvert,Tan maré
"Tendre de la main, tendre","Lonjé lanmen, lonjé"
Tenir compte de,Panga
Tenir tête,Réponn chou pou chou
"Terminé, plus de discussion","Katata, kawka"
Tique (insecte),Karapat
Tison,Bwa difé
Tissu autour des hanches d’une femme,Kanmza
"Tissu (ceinture de madras) autour des hanches
d’un homme",Matchoukann
Tissu noué sur la tête pour porter une charge,Tòrch
Tissu bleu grossier,"Groblé, dril"
Toilette,"Komen, konmen, katich, kabiné, tinèt"
Toit,Fétaj
Tomber,Chapé-tonbé
Tordu,"Kroubé, kokobé"
Tordu,"Kwanbou, tòrdé"
Tôt,"Bònò, bonnò, bònò-bònò, bonnò-bonnò"
Toucher,Taté
Toupet,"Kran, krann"
Tourmenter,Troumanté
Tout de même,Tout-menm
Tracas,"Djopopo, lélékou, trafalga"
Trainailler,"Alé-vini, bay lari chenn, bat lari"
Trainailler,"Djòm-djòm, djonm-djonm"
Traîner un poids,Chròlòlò
Trainer les rues,Drivé
Tralala,Wélélé
Travers (en),Atravè
Traverser,Trabésé
Trébucher,"Tribiché, trilbiché"
Trémousser,"Troumousé, foutrou"
