Tremper un petit bout,Tchouké
Trois,Trwa
Tromper,"Doublèr, badinen, badiné"
Tromperie,Doublaj
Trop,Tròp
"Troquer, échanger",Boukanté
Tu parles ?,Koté sa !
Turbulent,Troumantan
Unique,Inik
"L’un l’autre, réciproquement","Konpanyen, konpangnen"
Un tel,Entel
Utiliser,Sèrvi
Va-et-vient,Viré-tournen
Vaut la peine,Val pa (vieilli)
Vaurien,"Pandriyò, kòkòdò, Bozobyo, Zotobwé, Drivayè,"
Vaurien,Pa val pa (vieilli)
Vaut rien (ne),Pa valé pa (vieilli)
Vendeur,Vandò
Venir près de,Bordé
Verre,Goblé
"Vers, aux environs","Bò di, bò’d"
Vers (vermines de chien),Zenga
Veste,Palto
Viande (de la),"Lachè, vyann"
Vitesse,Balan
Vivoter,Djoubaté
Voisin,Vwézen
Vois-tu !,Tandé !
Voix,"Vwè, vwa"
