Attraper,"Trapé, tchenbé"
Autorité (sous),Anba lòpsyon
"Autre, un autre","Ròt, wòt, rounòt"
Autres (les),"Ròt ya, wòt ya"
Autrui,Otri (vieilli)
Avare,Variché
Avec,"Ké, ansanm ké"
Aveugler,Vèrglé
Baffe,"Babòtchèt, babotchèt, palaviré"
Bagne,Bangn
Bagarreur,Baroufyè
Bajoue,Bajòl
Balançoir,Balansin
Baptème,Batenm
"Bâton plat aidant à laver le linge,",Batwèl
"Bâton, perche aidant à naviguer",Takari
Battre (se),"Briga, fè tchòk, bigas"
Battre à plate couture,Renté
"Bavarder, ricanner",Tchi-tchi-tchi
Beaucoup,"Oun ta, roun ta, oun lo, roun lo, oun patché,
roun patché, séryé, oun jwé, si tan di,
apachachou"
Beaucoup,"Soso, Toubonnman"
Beauté,Bèlté
Béquille,"Béki, biki"
Besoin,"Bézwen, benzwen, bizwen"
Bidon à laver du linge,Bay (« La pli bèl anba la bay ! »)
Bien arrangé,Annòrd
Bien debout,Djòk
Bien sûr ! C’est ça ! (sarcasme),A ten ! Atchen !
Bientôt,"Talò, Titalò, Dimen-tanto"
Blague mensongère,"Darloz, darlouz"
Blanc du pays,"Pòpòt, vyé blanng, Masogan"
Blessure interne,Blès
Boisson (alcoolique),Bwéson
Boire de l’alccol,Tchivé
Bon,Di vrè
Bon à rien,Pandriyò
Bonhomme,"Bonlonm, bolonm"
Boucle d’oreille,"Zanno, pandòrè"
Boucherie,Bouchouri
Bouillon,"Bòryan, rèst, rabyo"
Bouquet,Boutché
Brasser,"Lélé, Touyé"
Bricoleur,"Bouzougnè, bouzougnen"
Brouiller avec…,Mal ké…
"Broyer, écraser","Kayakaya, kakaya"
Bruit (grand),"Boukan, dézòrd"
"Bruit incompréhensible, attroupement",Bankoulélé
Brutal,"Mastòk, groso, blip"
Bureau,Biro
C’est pas la grande forme !,"Flègèdè, kanyan-kanyan"
"Cabosser, déformer","Mòtòk-mòtòk, motòk-motòk"
