Jeune fille,"Jennfi, ti-manmzèl, doumwézèl (vieilli)"
Joli,"Bidjoul, obidjoul, jòlòt"
Joueur,Jouwò
Jumeaux,Roro
"Jusqu’à aujourd’hui, Jusqu’à maintenant","Jouk atò, jouk jòdla"
Lampe à pétrole,"Chaldéviré, Lalanp, lalanp-chis, fanal"
Largeur,"Larjò, larjèr"
Larme,"Dlo-wéy, dilo-wéy"
"Lent, lentement","Lanben, mòlpi, lando-lando"
Lèpre,"Kokobé, lalèp"
Lequel ?,"Kilakèl, kyakèl, lakèl, katchèl?"
"Leur, leurs","Yé, yépa"
Lieu commun,Chanm-Agat
Lit,"Kabann, boukan, lit"
Lit de campagne,Boukan
"Loin, dans le ciel",Laro firmanman-an
Longueur,"Londjò, Longèr"
Lorsque,"Lò, Lòské"
Loup-garou,Gigonbya
Lourd,Pézan
Luciole,Zoukouyanyan
Lumière,"Limyèr, klèrté, klérité"
Madame,"Madanm, Man …"
Maigrelet,Flèkè
Maintenant,Atchwèlman
Maïs,Mi
Maison,Kaz
Majorine,"Djòk, matadò"
Mal élevé,"Malapri, malélivé"
Maladif,Kanyan-kanyan
Malchance,Dévenn
Malédiction,"Madichon, Limyèr pòrt-chanm"
Malédiction (jetter une),"Pannèm, pannenm"
Malheur,"Malèr, malò"
Malheureux,"Maloré, maléré"
Manchot (sans bras),Boutou
Mangeur,Manjò
Mariage après coup,Béni-koumè
"Mariole, Fanfaron",Gèrè
Marmite (vieille),"Chalfouk, Fétou, kannari"
Marmonner,"Rounou-rounou, ronchonnen"
Matelas,Payas
Matière,"Gnangnan, nannan"
Matin,Bonmanten
Matin (le),Bonnannen
"Matraque, massue, casse-tête",Boutou
Mauvais petit garçon,Batmanman
Mauvaise personne,Mové-vivan
"Méchant, méchanceté","Michan, michansté"
Médisant,Bouch-kabrit
Médium,"Gadò, pyayò, pyayèr"
Meilleur,Miyò
Mélanger,"Lélé, touyé"
