Même chose,"Galman, Résipròk"
Menteur,"Mantò, Mantèr"
Mentir,"Mantò, Manti, manti-mantò"
Mes,Mo ….. yan
Mesurer,Mizouré
Mettre en morceau,"Dékartché, kaya-kaya, kakaya"
Miette,Frifri
Minablerie,Benyenyen
Miséreux,Mizéré
Moitié,Lanmotché
Moitié,Motché
Monsieur,Mouché
Moquer,Charadé
Moquer (se … de),"Foutan di, Charadé"
Morceau,Bi
"Morceau, tas, paquet","Ta, bi, patché"
Morose,"Chagrinen, chagren"
Mort,"Krab, « Bazil pran’l », dèd, mò, akabafya, kabafya"
Moteur,Motèr
Mouvement,Nika
Mourir,mouri
Murir mal,"Chaw chaw, Mapou"
Murmurer,"Chwi-chwi-chwi, rounou-rounou, rourounou"
"Murmurer, ronchonner","Bougonnen, chakalé, ronchon-ronchon"
Musée de la culture,"Mizé kiltir, mizé di la kiltir"
Musique hétéroclite,"Bouzengo, bouzingo"
N’a …. Pas,"P’ka, pa ka"
Natté,Dika
Ne ….. pas,"Pa ka, p’ka, pou ka (vieilli)"
"Ne … que, qu’à","Annik ki, ren’ki, yen’ki"
Ne …. que,"Ren’ ki, yen’ki, en’ki"
Ne valoir rien du tout,Rétayon
Négresse,Négrès
Nettoyer (un récipient),Froubi
Noirceur,"Soukou, Soukousité"
Nommer,"Aplé, « Kouman yé ka aplé to ? »"
Non,"Non, en-en, awa, anwa"
Nourrice,"Da, nennenn, nennen"
Nouveau venu,Nèg nòv
Obscurité,"Soukou, soukousité"
"Occupant, pour une fillette","Fouyaya, katchopin"
Occuper (s’…. de),"Étchipé, otchipé, okipé"
"Occuper, Occupant","Otchipé, Otchipan, okipé, okipan"
Odeur,Lòdò
Oh mon Dieu !,Fout! Mo manman! Mo manman latò!
Oiseau,"Zozo, ti zozo, zwézo, ti-jibyé"
On ne joue plus !,Gnanpwen jwé ankò !
On verra bien !,N’a wè ! Nou wa wè ! (vieilli) Nou ké wè !
Orateur,Loratèr
Ordure,Briyé
Oreille,Zòrè
"Oser, Risquer (se)",Gnanni
Où est,"Oti, éti"
